budget,id,original_language,original_title,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count
25000000,769,en,GoodFellas,63.654244,9/12/1990,46836394,145,Released,Three Decades of Life in the Mafia.,GoodFellas,8.2,3128
18000000,1891,en,The Empire Strikes Back,78.51783,5/17/1980,538400000,124,Released,The Adventure Continues...,The Empire Strikes Back,8.2,5879
806948,539,en,Psycho,93.067866,6/16/1960,32000000,109,Released,The master of suspense moves his cameras into the icy blackness of the unexplored!,Psycho,8.2,2320
10000000,30973,en,The Visual Bible: The Gospel of John,3.208172,9/11/2003,4069090,125,Released,For God loved the world So much...,The Visual Bible: The Gospel of John,8.2,12
20000000,73,en,American History X,73.567232,10/30/1998,23875127,119,Released,Some Legacies Must End.,American History X,8.2,3016
3000000,510,en,One Flew Over the Cuckoo's Nest,127.525581,11/18/1975,108981275,133,Released,If he's crazy; what does that make you?,One Flew Over the Cuckoo's Nest,8.2,2919
0,17663,en,Anne of Green Gables,8.772574,12/1/1985,0,199,Released,,Anne of Green Gables,8.2,68
350000,389,en,12 Angry Men,59.259204,3/25/1957,1000000,96,Released,Life is in their hands. Death is on their minds.,12 Angry Men,8.2,2078
165000000,157336,en,Interstellar,724.247784,11/5/2014,675120017,169,Released,Mankind was born on Earth. It was never meant to die here.,Interstellar,8.1,10867
160000000,27205,en,Inception,167.58371,7/14/2010,825532764,148,Released,Your mind is the scene of the crime.,Inception,8.1,13752
94000000,122,en,The Lord of the Rings: The Return of the King,123.630332,12/1/2003,1118888979,201,Released,The eye of the enemy is moving.,The Lord of the Rings: The Return of the King,8.1,8064
33000000,807,en,Se7en,79.579532,9/22/1995,327311859,127,Released,Seven deadly sins. Seven ways to die.,Se7en,8.1,5765
19000000,274,en,The Silence of the Lambs,18.174804,2/1/1991,272742922,119,Released,To enter the mind of a killer she must challenge the mind of a madman.,The Silence of the Lambs,8.1,4443
19000000,694,en,The Shining,78.699993,5/22/1980,44017374,144,Released,A masterpiece of modern horror.,The Shining,8.1,3757
16400000,207,en,Dead Poets Society,55.458584,6/2/1989,235860116,129,Released,He was their inspiration. He made their lives extraordinary.,Dead Poets Society,8.1,2705
6000000,264644,en,Room,66.11334,10/16/2015,35401758,117,Released,Love knows no boundaries,Room,8.1,2757
11000000,11,en,Star Wars,126.393695,5/25/1977,775398007,121,Released,A long time ago in a galaxy far; far away...,Star Wars,8.1,6624
10000000,27322,en,Love Jones,1.000178,3/14/1997,0,104,Released,Get Together. Fall Apart. Start Over.,Love Jones,8.1,12
6000000,629,en,The Usual Suspects,64.025031,7/19/1995,23341568,106,Released,Five Criminals. One Line Up. No Coincidence.,The Usual Suspects,8.1,3254
9000000,77,en,Memento,60.715151,10/11/2000,39723096,113,Released,Some memories are best forgotten.,Memento,8.1,4028
5000000,335,it,C'era una volta il West,49.333137,12/21/1968,5321508,175,Released,There were three men in her life. One to take her... one to love her... and one to kill her.,Once Upon a Time in the West,8.1,1128
3300000,598,pt,Cidade de Deus,44.356711,2/5/2002,30641770,130,Released,If you run you're dead... if you stay; you're dead again. Period.,City of God,8.1,1814
3000000,284,en,The Apartment,22.889294,6/15/1960,25000000,125,Released,Movie-wise; there has never been anything like it - laugh-wise; love-wise; or otherwise-wise!,The Apartment,8.1,483
1,3082,en,Modern Times,28.27648,2/5/1936,8500000,87,Released,He stands alone as the greatest entertainer of modern times! No one on earth can make you laugh as heartily or touch your heart as deeply...the whole world laughs; cries and thrills to his priceless genius!,Modern Times,8.1,856
1200000,429,it,Il buono; il brutto; il cattivo,88.377076,12/23/1966,6000000,161,Released,For three men the Civil War wasn't hell. It was practice.,The Good; the Bad and the Ugly,8.1,2311
175000000,150540,en,Inside Out,128.655964,6/9/2015,857611174,94,Released,Meet the little voices inside your head.,Inside Out,8,6560
93000000,120,en,The Lord of the Rings: The Fellowship of the Ring,138.049577,12/18/2001,871368364,178,Released,One ring to rule them all,The Lord of the Rings: The Fellowship of the Ring,8,8705
79000000,121,en,The Lord of the Rings: The Two Towers,106.914973,12/18/2002,926287400,179,Released,A New Power Is Rising.,The Lord of the Rings: The Two Towers,8,7487
45000000,8587,en,The Lion King,90.457886,6/23/1994,788241776,89,Released,Life's greatest adventure is finding your place in the Circle of Life.,The Lion King,8,5376
40000000,1124,en,The Prestige,74.440708,10/19/2006,109676311,130,Released,Are You Watching Closely?,The Prestige,8,4391
35000000,423,en,The Pianist,50.587541,9/24/2002,120072577,150,Released,Music was his passion. Survival was his masterpiece.,The Pianist,8,1864
31500000,28,en,Apocalypse Now,49.973462,8/15/1979,89460381,153,Released,This is the end...,Apocalypse Now,8,2055
30000000,120467,en,The Grand Budapest Hotel,74.417456,2/26/2014,174600318,99,Released,A perfect holiday without leaving home.,The Grand Budapest Hotel,8,4519
25000000,111,en,Scarface,70.105981,12/8/1983,65884703,170,Released,The world is yours...,Scarface,8,2948
19000000,105,en,Back to the Future,76.603233,7/3/1985,381109762,116,Released,He's the only kid ever to get into trouble before he was born.,Back to the Future,8,6079
14000000,205596,en,The Imitation Game,145.364591,11/14/2014,233555708,113,Released,The true enigma was the man who cracked the code.,The Imitation Game,8,5723
92620000,19,de,Metropolis,32.351527,1/10/1927,650422,153,Released,There can be no understanding between the hands and the brain unless the heart acts as mediator.,Metropolis,8,657
10000000,164558,en,One Direction: This Is Us,7.944457,8/28/2013,0,92,Released,A motion picture event.,One Direction: This Is Us,8,201
0,333355,en,Star Wars: Clone Wars (Volume 1),1.881466,3/21/2005,0,69,Released,,Star Wars: Clone Wars: Volume 1,8,27
6500000,14631,en,The Work and the Glory II: American Zion,2.639106,10/21/2005,2025032,100,Released,,The Work and the Glory II: American Zion,8,6
6000000,57612,en,Dolphins and Whales: Tribes of the Ocean,0.041651,2/15/2008,7518876,42,Released,,Dolphins and Whales: Tribes of the Ocean,8,3
0,44260,en,Lake of Fire,0.475748,9/9/2006,25,152,Released,Exploring the Issue that Divides the World,Lake of Fire,8,10
4000000,89708,en,Samsara,12.781973,9/16/2011,0,102,Released,,Samsara,8,167
2000000,108346,en,Dreaming of Joseph Lees,0.11615,10/29/1999,7,92,Released,,Dreaming of Joseph Lees,8,1
3180000,1585,en,It's a Wonderful Life,42.868495,12/20/1946,9644124,130,Released,It's a wonderful laugh! It's a wonderful love!,It's a Wonderful Life,8,1076
2883848,239,en,Some Like It Hot,39.30982,3/18/1959,25000000,122,Released,The movie too HOT for words!,Some Like It Hot,8,808
2000000,595,en,To Kill a Mockingbird,22.139842,12/25/1962,13129846,129,Released,,To Kill a Mockingbird,8,657
1800000,935,en,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,41.996783,1/29/1964,9440272,95,Released,The hot-line suspense comedy,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8,1442
1200000,500,en,Reservoir Dogs,66.925866,9/2/1992,14661007,99,Released,Every dog has his day.,Reservoir Dogs,8,3697
1300000,103,en,Taxi Driver,58.845025,2/7/1976,28262574,114,Released,On every street in every city; there's a nobody who dreams of being a somebody.,Taxi Driver,8,2535
0,99826,en,The Jimmy Show,0.098351,1/16/2002,0,96,Released,,The Jimmy Show,8,1
0,357441,en,Karachi se Lahore,0.060003,7/31/2015,0,0,Released,,Karachi se Lahore,8,1
910000,654,en,On the Waterfront,16.015599,6/22/1954,9600000,108,Released,The Man Lived by the Jungle Law of the Docks!,On the Waterfront,8,357
0,40862,en,Iraq for Sale: The War Profiteers,1.517771,1/1/2006,0,75,Released,,Iraq for Sale: The War Profiteers,8,6
0,328307,en,Rise of the Entrepreneur: The Search for a Better Way,0.052942,11/20/2014,0,0,Released,,Rise of the Entrepreneur: The Search for a Better Way,8,1
300000,21525,en,Tupac: Resurrection,1.314576,1/23/2003,7808524,112,Released,In his own words,Tupac: Resurrection,8,26
200000,40920,en,The Business of Fancydancing,0.06104,1/14/2002,0,103,Released,Sometimes going home is the hardest journey of all.,The Business of Fancydancing,8,2
0,287815,en,Call + Response,0.062089,10/10/2008,0,86,Released,A FILM ABOUT THE WORLD'S 27 MILLION MOST TERRIFYING SECRETS.,Call + Response,8,1
170000000,118340,en,Guardians of the Galaxy,481.098624,7/30/2014,773328629,121,Released,All heroes start somewhere.,Guardians of the Galaxy,7.9,9742
103000000,98,en,Gladiator,95.301296,5/1/2000,457640427,155,Released,A Hero Will Rise.,Gladiator,7.9,5439
100000000,106646,en,The Wolf of Wall Street,95.007934,12/25/2013,392000694,180,Released,EARN. SPEND. PARTY.,The Wolf of Wall Street,7.9,6571
90000000,1422,en,The Departed,63.429157,10/5/2006,289847354,151,Released,Lies. Betrayal. Sacrifice. How far will you take it?,The Departed,7.9,4339
70000000,16869,en,Inglourious Basterds,72.595961,8/18/2009,319131050,153,Released,Once upon a time in Nazi occupied France...,Inglourious Basterds,7.9,6430
70000000,857,en,Saving Private Ryan,76.041867,7/24/1998,481840909,169,Released,The mission is a man.,Saving Private Ryan,7.9,5048
63000000,603,en,The Matrix,104.309993,3/30/1999,463517383,136,Released,Welcome to the Real World.,The Matrix,7.9,8907
61000000,210577,en,Gone Girl,143.041543,10/1/2014,369330363,145,Released,You don't know what you've got 'til it's...,Gone Girl,7.9,5862
46000000,146233,en,Prisoners,88.496873,9/18/2013,122126687,153,Released,Every moment matters.,Prisoners,7.9,3085
32350000,1892,en,Return of the Jedi,46.509071,5/23/1983,572700000,135,Released,The Empire Falls...,Return of the Jedi,7.9,4665
28000000,78,en,Blade Runner,94.056131,6/25/1982,33139618,117,Released,Man has made his match... now it's his problem.,Blade Runner,7.9,3509
25000000,7345,en,There Will Be Blood,37.817905,12/28/2007,77208711,158,Released,There Will Be Greed. There Will Be Vengeance.,There Will Be Blood,7.9,1537
23000000,152601,en,Her,53.682367,12/18/2013,47351251,126,Released,A Spike Jonze Love Story,Her,7.9,4097
20000000,76203,en,12 Years a Slave,95.9229,10/18/2013,187000000,134,Released,The extraordinary true story of Solomon Northup,12 Years a Slave,7.9,3674
20000000,38,en,Eternal Sunshine of the Spotless Mind,56.481487,3/19/2004,72258126,108,Released,You can erase someone from your mind. Getting them out of your heart is another story.,Eternal Sunshine of the Spotless Mind,7.9,3652
15000000,14,en,American Beauty,80.878605,9/15/1999,356296601,122,Released,Look closer.,American Beauty,7.9,3313
14000000,387,de,Das Boot,26.967494,9/16/1981,85000000,149,Released,When the hunters become the hunted,Das Boot,7.9,613
10500000,62,en,2001: A Space Odyssey,86.201184,4/10/1968,68700000,149,Released,An epic drama of adventure and exploration,2001: A Space Odyssey,7.9,2998
10000000,489,en,Good Will Hunting,43.734886,12/5/1997,225933435,126,Released,Some people can never believe in themselves; until someone believes in them.,Good Will Hunting,7.9,2811
11000000,348,en,Alien,94.184658,5/25/1979,104931801,117,Released,In space no one can hear you scream.,Alien,7.9,4470
0,71157,fr,Polisse,14.038703,10/6/2011,20374201,127,Released,,Polisse,7.9,285
6800000,46738,fr,Incendies,21.285206,9/4/2010,7103838,130,Released,The search began at the opening of their mother's will.,Incendies,7.9,479
5500000,9277,en,The Sting,28.500913,12/25/1973,159616327,129,Released,...all it takes is a little confidence.,The Sting,7.9,622
5000000,1955,en,The Elephant Man,30.271066,10/2/1980,26010864,124,Released,I am not an animal! I am a human being! I... am... a man!,The Elephant Man,7.9,719
5000000,152532,en,Dallas Buyers Club,59.454473,9/7/2013,55198285,117,Released,Sometimes it takes a hustler to change the world,Dallas Buyers Club,7.9,2886
4500000,641,en,Requiem for a Dream,11.573034,10/27/2000,7390108,102,Released,,Requiem for a Dream,7.9,2443
3500000,142061,en,Batman: The Dark Knight Returns; Part 2,25.891466,1/18/2013,0,78,Released,Justice Returns... Vengeance Returns... Redemption Comes to Gotham.,Batman: The Dark Knight Returns; Part 2,7.9,419
3800000,103663,da,Jagten,21.826888,8/28/2012,16800000,115,Released,The lie is spreading.,The Hunt,7.9,927
2000000,582,de,Das Leben der Anderen,34.938177,3/15/2006,70000000,137,Released,Before the Fall of the Berlin Wall; East Germany's Secret Police Listened to Your Secrets.,The Lives of Others,7.9,958
1500000,3083,en,Mr. Smith Goes to Washington,12.2624,10/19/1939,9600000,129,Released,Romance; drama; laughter and heartbreak... created out of the very heart and soil of America!,Mr. Smith Goes to Washington,7.9,241
878000,289,en,Casablanca,43.729123,11/26/1942,10462500,102,Released,They had a date with fate in Casablanca!,Casablanca,7.9,1422
0,13963,en,The Last Waltz,3.277287,5/1/1978,321952,117,Released,It Started as a Concert. It Became a Celebration.,The Last Waltz,7.9,64
165000000,177572,en,Big Hero 6,203.73459,10/24/2014,652105443,102,Released,From the creators of Wreck-it Ralph and Frozen,Big Hero 6,7.8,6135
100000000,68718,en,Django Unchained,82.121691,12/25/2012,425368238,165,Released,Life; liberty and the pursuit of vengeance.,Django Unchained,7.8,10099
80000000,11324,en,Shutter Island,81.914696,2/18/2010,294804195,138,Released,Someone is missing.,Shutter Island,7.8,6336
60000000,37165,en,The Truman Show,56.488027,6/4/1998,264118201,103,Released,On the air. Unaware.,The Truman Show,7.8,4537
52000000,524,en,Casino,40.06688,11/22/1995,116112375,178,Released,No one stays at the top forever.,Casino,7.8,1307
15000000,1091,en,The Thing,52.731379,6/25/1982,19629760,109,Released,Man is The Warmest Place to Hide.,The Thing,7.8,1588
33000000,13223,en,Gran Torino,50.7453,12/9/2008,269958228,116,Released,Ever come across somebody you shouldn't have messed with?,Gran Torino,7.8,3086
25000000,50014,en,The Help,42.191509,8/9/2011,124272124,146,Released,Change begins with a whisper.,The Help,7.8,1910
20000000,314365,en,Spotlight,41.503588,11/6/2015,88346473,128,Released,Break the story. Break the silence.,Spotlight,7.8,2686
15000000,5915,en,Into the Wild,43.644978,9/11/2007,56255142,148,Released,Into the heart. Into the soul.,Into the Wild,7.8,3045
18000000,279,en,Amadeus,31.82675,10/26/1984,51973029,160,Released,...Everything you've heard is true,Amadeus,7.8,1076
15000000,11778,en,The Deer Hunter,19.786392,12/8/1978,50000000,183,Released,One of the most important and powerful films of all time!,The Deer Hunter,7.8,921
15000000,266856,en,The Theory of Everything,61.182331,11/26/2014,123726688,123,Released,His Mind Changed Our World. Her Love Changed His.,The Theory of Everything,7.8,3311
15000000,947,en,Lawrence of Arabia,41.286336,12/10/1962,69995385,216,Released,,Lawrence of Arabia,7.8,851
15000000,115,en,The Big Lebowski,49.230089,3/6/1998,46189568,117,Released,Times like these call for a Big Lebowski.,The Big Lebowski,7.8,2926
0,122906,en,About Time,74.817641,8/16/2013,87100449,123,Released,What if every moment in life came with a second chance?,About Time,7.8,2067
8000000,235,en,Stand by Me,51.109279,8/22/1986,52287414,89,Released,For some; it's the last real taste of innocence; and the first real taste of life. But for everyone; it's the time that memories are made of.,Stand by Me,7.8,1522
4000000,7347,pt,Tropa de Elite,23.604936,10/12/2007,0,115,Released,On the streets of Rio only the elite survive,Elite Squad,7.8,504
4000000,703,en,Annie Hall,35.892034,4/19/1977,38251425,93,Released,A nervous romance.,Annie Hall,7.8,1010
4000000,5925,en,The Great Escape,35.061467,6/20/1963,11744471,172,Released,Put a fence in front of these men... and they'll climb it!,The Great Escape,7.8,717
2000000,25376,es,El secreto de sus ojos,25.894065,8/13/2009,33965843,129,Released,,The Secret in Their Eyes,7.8,626
4000000,627,en,Trainspotting,63.513324,2/23/1996,16491080,93,Released,Choose life.,Trainspotting,7.8,2655
2540800,872,en,Singin' in the Rain,36.556954,4/10/1952,7200000,103,Released,What a Glorious Feeling!,Singin' in the Rain,7.8,727
2000000,8885,he,Vals Im Bashir,14.08251,6/25/2008,11125849,90,Released,,Waltz with Bashir,7.8,291
0,159037,ar,The Square,4.892203,6/7/2013,0,88,Released,What does it mean to risk your life for your ideals? How far will five revolutionaries go in defending their beliefs in the fight for their nation?,The Square,7.8,55
0,310569,pt,Que Horas Ela Volta?,9.683622,2/8/2015,0,110,Released,,The Second Mother,7.8,165
800000,25461,en,Raising Victor Vargas,3.643662,5/16/2002,2816116,88,Released,,Raising Victor Vargas,7.8,13
0,78705,en,Cama adentro,0.038706,9/21/2004,0,83,Released,,Live-In Maid,7.8,3
2053648,14271,en,Beyond the Mat,2.778633,10/22/1999,500000,102,Released,,Beyond the Mat,7.8,17
400000,762,en,Monty Python and the Holy Grail,64.782984,3/13/1975,5028948,91,Released,And now! At Last! Another film completely different from some of the other films which aren't quite the same as this one is.,Monty Python and the Holy Grail,7.8,1708
0,10238,sv,Viskningar och rop,11.347855,12/21/1972,0,91,Released,A haunting and shattering film experience.,Cries and Whispers,7.8,115
0,48035,da,Ordet,3.225189,1/9/1955,0,126,Released,,Ordet,7.8,65
175000000,14160,en,Up,92.201962,5/13/2009,735099082,96,Released,,Up,7.7,6870
130000000,673,en,Harry Potter and the Prisoner of Azkaban,79.679601,5/31/2004,789804554,141,Released,Something wicked this way comes.,Harry Potter and the Prisoner of Azkaban,7.7,5877
100000000,280,en,Terminator 2: Judgment Day,101.74155,7/1/1991,520000000,137,Released,It's nothing personal.,Terminator 2: Judgment Day,7.7,4185
60000000,453,en,A Beautiful Mind,59.248437,12/11/2001,313542341,135,Released,I need to believe that something extra ordinary is possible...,A Beautiful Mind,7.7,3009
72000000,197,en,Braveheart,60.722162,5/24/1995,210000000,177,Released,Every man dies. Not every man truly lives.,Braveheart,7.7,3336
55000000,1402,en,The Pursuit of Happyness,80.581367,12/14/2006,307077295,117,Released,,The Pursuit of Happyness,7.7,2525
30000000,24,en,Kill Bill: Vol. 1,79.754966,10/10/2003,180949000,111,Released,Go for the kill.,Kill Bill: Vol. 1,7.7,4949
52000000,640,en,Catch Me If You Can,73.944049,12/25/2002,352114312,141,Released,The true story of a real fake.,Catch Me If You Can,7.7,3795
54000000,752,en,V for Vendetta,84.630969,3/15/2006,132511035,132,Released,People should not be afraid of their governments. Governments should be afraid of their people.,V for Vendetta,7.7,4442
40000000,745,en,The Sixth Sense,73.085576,8/6/1999,672806292,107,Released,Not every gift is a blessing.,The Sixth Sense,7.7,3147
38000000,96721,en,Rush,33.003828,9/2/2013,90247624,123,Released,Everyone's driven by something.,Rush,7.7,2277
35000000,2118,en,L.A. Confidential,24.860326,9/19/1997,126216940,138,Released,Everything is suspect... Everyone is for sale... And nothing is what it seems.,L.A. Confidential,7.7,1310
35000000,9702,en,Bound by Honor,9.122828,2/5/1993,0,180,Released,An epic story of three brothers. Bound by blood. Divided by fate. Driven by destiny.,Bound by Honor,7.7,115
30000000,862,en,Toy Story,73.640445,10/30/1995,373554033,81,Released,,Toy Story,7.7,5269
30000000,70,en,Million Dollar Baby,70.456012,12/15/2004,216763646,132,Released,Beyond his silence; there is a past. Beyond her dreams; there is a feeling. Beyond hope; there is a memory. Beyond their journey; there is a love.,Million Dollar Baby,7.7,2439
29000000,11036,en,The Notebook,55.109138,6/25/2004,115603229,123,Released,Behind every great love is a great story.,The Notebook,7.7,3067
28000000,277216,en,Straight Outta Compton,61.76233,8/13/2015,201634991,147,Released,The Story of N.W.A.,Straight Outta Compton,7.7,1355
28000000,4348,en,Pride & Prejudice,36.58383,9/16/2005,121147947,135,Released,A romance ahead of its time.,Pride & Prejudice,7.7,1358
25000000,6977,en,No Country for Old Men,53.645267,11/8/2007,171600000,122,Released,There are no clean getaways.,No Country for Old Men,7.7,3003
25000000,59440,en,Warrior,51.915025,9/9/2011,23057115,140,Released,Fight for Family,Warrior,7.7,1272
13500000,152742,en,La migliore offerta,30.058263,1/1/2013,19255873,124,Released,A Master of Possession. A Crime of Obsession,The Best Offer,7.7,704
18000000,85,en,Raiders of the Lost Ark,68.159596,6/12/1981,389925971,115,Released,Indiana Jones - the new hero from the creators of JAWS and STAR WARS.,Raiders of the Lost Ark,7.7,3854
18000000,1578,en,Raging Bull,35.524457,11/14/1980,23000000,129,Released,,Raging Bull,7.7,938
18500000,679,en,Aliens,67.66094,7/18/1986,183316455,137,Released,This Time It's War,Aliens,7.7,3220
16000000,28178,en,Hachi: A Dog's Tale,43.217089,6/13/2009,47801389,93,Released,A true story of faith; devotion and undying love.,Hachi: A Dog's Tale,7.7,1717
15000000,873,en,The Color Purple,17.571533,12/18/1985,146292009,154,Released,It's about life. It's about love. It's about us.,The Color Purple,7.7,338
14000000,33,en,Unforgiven,37.380435,8/7/1992,159157447,131,Released,Some legends will never be forgotten. Some wrongs can never be forgiven.,Unforgiven,7.7,1113
18339750,613,de,Der Untergang,32.445895,9/8/2004,92180910,156,Released,April 1945; a nation awaits its...Downfall,Downfall,7.7,1037
13000000,84892,en,The Perks of Being a Wallflower,43.444135,9/20/2012,33400000,102,Released,We are infinite.,The Perks of Being a Wallflower,7.7,2968
12500000,14574,en,The Boy in the Striped Pyjamas,34.821223,5/7/2008,20416563,94,Released,Lines may divide us; but hope will unite us.,The Boy in the Striped Pyjamas,7.7,1451
10000000,107,en,Snatch,53.595686,9/1/2000,83557872,103,Released,Stealin' Stones and Breakin' Bones.,Snatch,7.7,2912
11000000,3175,en,Barry Lyndon,29.543331,12/18/1975,20000000,184,Released,At long last Redmond Barry became a gentleman - and that was his tragedy.,Barry Lyndon,7.7,505
10000000,404,en,The Straight Story,15.280261,10/15/1999,0,112,Released,,The Straight Story,7.7,306
12000000,26022,en,My Name Is Khan,14.719886,2/12/2010,42345360,145,Released,I am Muslim and i am not a terrorist,My Name Is Khan,7.7,232
7300000,2011,fr,Persepolis,24.281951,5/23/2007,0,95,Released,,Persepolis,7.7,450
7000000,24985,en,The Heart of Me,1.498245,1/1/2002,0,96,Released,,The Heart of Me,7.7,5
6000000,141,en,Donnie Darko,61.210016,1/18/2001,1270522,113,Released,You can never go too far,Donnie Darko,7.7,3452
4500000,17139,nl,Karakter,0.011697,4/17/1997,0,122,Released,,Character,7.7,25
0,12093,sv,Lilja 4-Ever,7.759215,8/23/2002,0,109,Released,,Lilya 4-ever,7.7,139
3800000,10774,en,Network,17.234745,11/1/1976,23689877,121,Released,Not since the dawn of time has America experienced a man like Howard Beale!,Network,7.7,381
4000000,770,en,Gone with the Wind,48.98255,12/15/1939,400176459,238,Released,The greatest romance of all time!,Gone with the Wind,7.7,970
3000000,826,en,The Bridge on the River Kwai,23.109959,10/2/1957,33300000,161,Released,It spans a whole new world of entertainment!,The Bridge on the River Kwai,7.7,542
2800000,3034,en,Young Frankenstein,36.444894,12/15/1974,86273333,106,Released,The scariest comedy of all time!,Young Frankenstein,7.7,854
2500000,76,en,Before Sunrise,23.672571,1/27/1995,5535405,105,Released,Can the greatest romance of your life last only one night?,Before Sunrise,7.7,959
2000000,44639,en,Inside Job,16.930914,10/8/2010,7871522,109,Released,The film that cost $20;000;000;000;000 to make.,Inside Job,7.7,286
1300000,309,da,Festen,10.240917,5/20/1998,0,105,Released,,The Celebration,7.7,207
1288000,223,en,Rebecca,18.426825,4/12/1940,6000000,130,Released,The shadow of this woman darkened their love.,Rebecca,7.7,336
0,47686,en,Dream with the Fishes,0.948316,1/1/1997,0,97,Released,An oddball odyssey about voyeurism; LSD and nude bowling!,Dream with the Fishes,7.7,10
0,74510,en,Kevin Hart: Laugh at My Pain,5.498834,9/9/2011,0,89,Released,Alright! Alright! Alright!,Kevin Hart: Laugh at My Pain,7.7,43
700000,14275,en,Hoop Dreams,9.188431,9/12/1994,7830611,171,Released,An Extraordinary True Story.,Hoop Dreams,7.7,87
325000,3078,en,It Happened One Night,11.871424,2/22/1934,4500000,105,Released,TOGETHER... for the first time,It Happened One Night,7.7,275
250,173224,en,Along the Roadside,0.166655,2/28/2013,0,118,Released,,Along the Roadside,7.7,3
0,13363,en,The Man from Earth,31.339015,6/10/2007,0,87,Released,From one of the acclaimed writers of Star Trek and The Twilight Zone comes a story that transcends both time and space...,The Man from Earth,7.7,687
250000000,49026,en,The Dark Knight Rises,112.31295,7/16/2012,1084939099,165,Released,The Legend Ends,The Dark Knight Rises,7.6,9106
250000000,57158,en,The Hobbit: The Desolation of Smaug,94.370564,12/11/2013,958400000,161,Released,Beyond darkness... beyond desolation... lies the greatest danger of all.,The Hobbit: The Desolation of Smaug,7.6,4524
200000000,10193,en,Toy Story 3,59.995418,6/16/2010,1066969703,103,Released,No toy gets left behind.,Toy Story 3,7.6,4597
178000000,137113,en,Edge of Tomorrow,79.456485,5/27/2014,370541256,113,Released,Live; Die; Repeat,Edge of Tomorrow,7.6,4858
170000000,100402,en,Captain America: The Winter Soldier,72.225265,3/20/2014,714766572,136,Released,In heroes we trust.,Captain America: The Winter Soldier,7.6,5764
145000000,82702,en,How to Train Your Dragon 2,100.21391,6/12/2014,609123048,102,Released,The training is over.,How to Train Your Dragon 2,7.6,3106
108000000,286217,en,The Martian,167.93287,9/30/2015,630161890,141,Released,Bring Him Home,The Martian,7.6,7268
94000000,12,en,Finding Nemo,85.688789,5/30/2003,940335536,100,Released,There are 3.7 trillion fish in the ocean; they're looking for one.,Finding Nemo,7.6,6122
90000000,10674,en,Mulan,67.427755,6/18/1998,304320254,88,Released,This time; the princess saves the prince.,Mulan,7.6,2008
64000000,309809,en,The Little Prince,35.384423,7/29/2015,97571250,92,Released,Growing up isn't the problem... forgetting is.,The Little Prince,7.6,756
70000000,587,en,Big Fish,46.199482,12/25/2003,122919055,125,Released,An adventure as big as life itself.,Big Fish,7.6,1994
